所在区域,平均价格(元/平方),房屋类型,所在楼层,建筑面积,建筑类型,房屋朝向,装修情况,梯户比例,配备电梯,挂牌时间,上次交易时间,产权所属,抵押信息
5,10696,3室2厅1厨2卫,中楼层 (共32层),115,2,东南,0.5,两梯四户,1,2018/12/8,暂无数据,0.5,1
3,21725,3室2厅1厨1卫,中楼层 (共33层),117.84,1,南 北,1,两梯四户,1,2019/3/4,2015/12/16,1,0.5
14,16613,3室2厅1厨1卫,中楼层 (共7层),82.47,2,南,1,一梯两户,0.5,2019/4/5,2015/12/25,1,1
3,20294,2室2厅1厨1卫,中楼层 (共33层),88.7,3,南,1,两梯四户,1,2019/4/15,2014/5/5,0.5,0.5
3,15901,3室2厅1厨1卫,高楼层 (共28层),93.08,2,南 北,1,一梯四户,0,2019/2/15,暂无数据,1,0.5
1,19629,2室2厅1厨1卫,低楼层 (共18层),77.44,1,西南,1,两梯四户,1,2019/3/27,2011/10/28,1,1
9,21701,2室1厅1厨1卫,中楼层 (共27层),94.47,2,南,1,两梯四户,1,2019/3/23,暂无数据,1,1
7,17734,2室1厅1厨1卫,高楼层 (共18层),75,2,南,1,两梯四户,1,2019/4/10,暂无数据,0.5,0.5
4,18154,2室2厅1厨1卫,高楼层 (共11层),71.61,2,北,0.5,两梯六户,1,2019/3/21,2017/6/5,1,0.5
4,34488,2室1厅1厨1卫,中楼层 (共6层),78.29,2,南 西 北,0.5,一梯两户,0,2019/3/17,2010/10/12,1,1
3,20360,3室2厅1厨1卫,低楼层 (共25层),88.41,2,南,0.5,两梯四户,1,2018/9/30,2017/3/22,1,1
3,19084,2室2厅1厨1卫,高楼层 (共18层),60.26,3,南,1,两梯四户,1,2019/2/23,2014/4/25,0.5,1
1,20877,2室2厅1厨1卫,高楼层 (共34层),78.08,3,南,1,两梯六户,1,2019/4/10,2017/10/26,0.5,0.5
3,12000,3室2厅1厨2卫,低楼层 (共5层),125,2,南 北,0.5,一梯一户,1,2018/12/24,暂无数据,1,1
2,33641,2室2厅1厨1卫,低楼层 (共32层),96.61,1,东南,1,两梯三户,1,2018/4/27,2016/11/1,0.5,1
1,16706,3室2厅1厨1卫,中楼层 (共34层),90.99,3,南,0,两梯四户,1,2019/4/15,2014/11/14,0.5,1
3,17808,2室2厅1厨1卫,中楼层 (共11层),79.74,2,南,1,一梯三户,0,2018/12/15,2015/11/27,0.5,1
1,25275,2室2厅1厨1卫,低楼层 (共31层),91,3,南,0,四梯八户,1,2018/11/8,暂无数据,1,1
3,16226,2室2厅1厨1卫,中楼层 (共27层),85.05,2,南,0,两梯四户,1,2019/2/12,暂无数据,0.5,1
4,21132,2室1厅1厨1卫,低楼层 (共8层),73.35,2,南 北,1,一梯四户,0.5,2019/3/5,2009/8/24,1,1
6,12523,2室2厅1厨1卫,高楼层 (共17层),83.85,3,南,0,一梯四户,0,2019/3/26,暂无数据,1,1
10,21560,3室2厅1厨2卫,中楼层 (共34层),109,2,南,1,两梯四户,1,2019/4/3,暂无数据,1,0.5
1,21001,2室2厅1厨1卫,高楼层 (共31层),78.57,2,南,0,两梯五户,1,2019/2/11,2018/5/28,0.5,0.5
2,17311,2室1厅1厨1卫,低楼层 (共31层),76.83,1,南,1,三梯五户,1,2019/2/13,暂无数据,0.5,0.5
6,9968,3室2厅1厨1卫,高楼层 (共25层),118.39,2,南 北,0,两梯四户,1,2019/3/29,暂无数据,1,0.5
1,22461,3室2厅1厨1卫,低楼层 (共29层),119.32,1,南 北,0.5,两梯六户,1,2019/4/11,2017/1/4,0.5,1
